"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 15:27:24 GMT 2024","Mon Apr 15 15:27:25 GMT 2024","866","chromium","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Apr 15 15:27:23 GMT 2024","Mon Apr 15 15:27:23 GMT 2024","216","chromium","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Apr 15 15:27:28 GMT 2024","Mon Apr 15 15:27:29 GMT 2024","1318","firefox","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Apr 15 15:27:47 GMT 2024","Mon Apr 15 15:27:48 GMT 2024","170","Google Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Apr 15 15:27:22 GMT 2024","Mon Apr 15 15:27:23 GMT 2024","738","chromium","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Apr 15 15:27:29 GMT 2024","Mon Apr 15 15:27:30 GMT 2024","1264","firefox","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Apr 15 15:27:31 GMT 2024","Mon Apr 15 15:27:36 GMT 2024","4479","webkit","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Apr 15 15:27:39 GMT 2024","Mon Apr 15 15:27:40 GMT 2024","221","Mobile Chrome","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Apr 15 15:27:46 GMT 2024","Mon Apr 15 15:27:47 GMT 2024","1411","Google Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Apr 15 15:27:43 GMT 2024","Mon Apr 15 15:27:44 GMT 2024","1211","Mobile Safari","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Apr 15 15:27:37 GMT 2024","Mon Apr 15 15:27:39 GMT 2024","1267","webkit","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Apr 15 15:27:43 GMT 2024","Mon Apr 15 15:27:43 GMT 2024","361","Mobile Safari","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Apr 15 15:27:48 GMT 2024","Mon Apr 15 15:27:49 GMT 2024","995","Google Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Apr 15 15:27:25 GMT 2024","Mon Apr 15 15:27:27 GMT 2024","2127","firefox","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Apr 15 15:27:23 GMT 2024","Mon Apr 15 15:27:24 GMT 2024","1012","chromium","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Apr 15 15:27:27 GMT 2024","Mon Apr 15 15:27:28 GMT 2024","433","firefox","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Apr 15 15:27:49 GMT 2024","Mon Apr 15 15:27:49 GMT 2024","655","Google Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Apr 15 15:27:36 GMT 2024","Mon Apr 15 15:27:37 GMT 2024","1349","webkit","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Apr 15 15:27:41 GMT 2024","Mon Apr 15 15:27:41 GMT 2024","785","Mobile Chrome","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
"passed","Mon Apr 15 15:27:36 GMT 2024","Mon Apr 15 15:27:36 GMT 2024","448","webkit","login.spec.ts","Login Feature","","","Login With Invalid Credential",""
"passed","Mon Apr 15 15:27:39 GMT 2024","Mon Apr 15 15:27:39 GMT 2024","508","Mobile Chrome","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Apr 15 15:27:40 GMT 2024","Mon Apr 15 15:27:41 GMT 2024","930","Mobile Chrome","logout.spec.ts","Logout feature","","","Customer logout successfully",""
"passed","Mon Apr 15 15:27:42 GMT 2024","Mon Apr 15 15:27:43 GMT 2024","1118","Mobile Safari","login.spec.ts","Login Feature","","","Login Successfully With Valid Credential",""
"passed","Mon Apr 15 15:27:44 GMT 2024","Mon Apr 15 15:27:46 GMT 2024","1161","Mobile Safari","ordering-product.spec.ts","Ordering product feature","","","Ordering products successfully",""
